,City,NickName,Province,Sex,Signature
0,,哈哈,,男,
1,南昌,听唱心世界,江西,女,每一次的旅程都不要忘了看沿途的风景。。。
2,南昌,武,江西,男,有些东西努力去追求了没有得到，和卑微了却得不到回应是不一样的
3,武汉,Arthur,湖北,男,
4,,飞,,不明性别,
5,,哈佛,,不明性别,
6,洛阳,夏日泡沫,河南,女,有你，我可以坐拥天下，没你，我的世界依然伟大……
7,,树珍,,不明性别,
8,,陈平,,不明性别,
9,,爱你一生!,,男,真心交朋友
10,,尚约厅史鹏雁,,不明性别,
11,洛阳,刘军辉,河南,男,
12,洛阳,小美,河南,女,男人想玩找我
13,,零零,,不明性别,
14,洛阳,海阔天空,河南,男,再苦再累，也要相信生活，相信未来！
15,,陈平安,,不明性别,
16,洛阳,简单  爱,河南,男,
17,洛阳,梁改丽,河南,女,中国平安综合金融
18,濮阳,夜狼,河南,男,一个人忽然就寂寞了
19,朝阳,杨帆,北京,不明性别,"新一轮的招聘开始了   
杨帆13366672241"
20,洛阳,。,河南,女,"就是个卖内衣的<span class=""emoji emoji1f459""></span><span class=""emoji emoji1f459""></span><span class=""emoji emoji1f447""></span>🏻"
21,,小吴,,不明性别,
22,洛阳,田俊洋,河南,男,
23,洛阳,倒甲,河南,男,行者常至，为者常成
24,洛阳,鳄鱼,河南,男,好好生活
25,洛阳,蓝天,河南,女,
26,洛阳,伊涅斯塔,河南,男,
27,,蒲公英,Paris,女,一切都会好起来的……
28,洛阳,A兴业银行刘莉平,河南,女,办理兴业银行信用卡18637926476
29,深圳,蓝柏琴行,广东,男,东门蓝柏琴行，吉他钢琴古筝声乐培训，13560761792
30,,清晨雨露,Upper Austria,男,只要你够浪！！
31,,亮亮,,男,雨的一生就是从天到地。
32,洛阳,古月,河南,男,南朝四百八十寺、多少楼台烟雨中
33,洛阳,清风,河南,男,相逢一笑泯思仇?
34,深圳,海燕,广东,女,
35,洛阳,驽马,河南,男,
36,,邮政EMS（31区26区揽投专员）,,不明性别,邮政EMS你的区域快递管家！负责邮件查询收件，派件，
37,,标你妹啊,,不明性别,
38,洛阳,悦悦,河南,女,
39,洛阳,移动宽带按装维护续费13698857064,河南,女,国伟
40,,me,,不明性别,
41,,LW,,不明性别,
42,深圳,Angel 小云、,广东,女,"心态正确远比现实表现重要、选对方向远比努力做事重要 —— <span class=""emoji emoji1f44f""></span> <span class=""emoji emoji1f44f""></span>"
43,洛阳,郭伟杰,河南,男,不成熟的尝试，胜于胎死腹中的策略
44,洛阳,晓亮,河南,男,
45,郑州,天天,河南,男,执子之手，与子偕老！
46,虹口,幸福一生,上海,女,你不努力，没人替你坚强！
47,九江,共赢未来～汪,江西,男,聊
48,深圳,如歌钢琴,广东,男,成人钢琴速成教学，30分钟学会一首钢琴曲。
49,株洲,光明噜渴酸奶--易元江,湖南,男,埋头苦干……天道酬勤！
50,深圳,张弛,广东,男,酌贪泉而觉爽 处涸辙以犹欢 欲把心事付瑶琴 知音少 弦断有谁听
51,洛阳,凤凰花,河南,男,别走得太快，灵魂都跟不上了！
52,深圳,Mr.Li,广东,男,尽人事！听天命！
53,顺义,shannon,北京,女,一个人的价值应该看他贡献什么，而不应当看他取得什么。
54,深圳,东风华艺音乐培训何老师,广东,男,培训吉他唱歌钢琴架子鼓小提琴古筝等；名牌吉他批发、零售。
55,,婷ting,,不明性别,
56,深圳,朋友,广东,女,努力奋斗
57,汕头,Jansoon.,广东,男,珍惜一切就算没有拥有……
58,,陈陈,,女,
59,洛阳,A0莘月农场黄焖鸡米饭新安店,河南,男,成功总在风雨后，偶了！
60,洛阳,吴畅畅,河南,女,Cc
61,东营,猫咪,山东,女,我一直在为我以后更幸福的生活在努力哟~
62,深圳,superman,广东,男,正德善行，知行合一
63,,歪脖子老鸡公,上海,女,人生得意须尽欢
64,深圳,sawa鱼,广东,男,
65,洛阳,洛阳大马（机电马志毅）,河南,男,
66,,善心汇-TT,,不明性别,
67,深圳,木_笛,广东,男,逸川文化&amp;U Station|培训|销售|活动|159-8953-1058 木笛
68,绵阳,对方正在输入...,四川,男,我只是个凡人！
69,,易鹏,,不明性别,
70,潜江,赵旭宏,湖北,男,有人走，有人来，有人在。
71,深圳,张建辉,广东,男,
72,济南,韩俊锋15069169989,山东,男,13205410338
73,深圳,刘凡,广东,男,
74,,"丿""娃他爹丶满爸",Dubayy,男,包容并没有那么简单，剩下的只有悲欢离合。
75,,红叶,St. Lawrence,女,时光不老，我们不散，天暗下来，你就是光！
76,洛阳,懿皇地产－李伊波,河南,男,
77,张家界,华,湖南,男,心有多大，路就有多远！
78,沈阳,辽宁恒志出国邸凯18624419537,辽宁,男,18624419537
79,,世纪新能源汽车城,Seoul,女,招才纳士：为了电动汽车事业快速发展，现招聘有志者人士加入我们
80,,橄榄图钟百迪,,不明性别,橄榄图摄影课堂 www.ganlantu.com
81,,阿苏13714799582,,不明性别,
82,深圳,老犁,广东,男,
83,合肥,陨石(博为峰),安徽,男,
84,金华,张庆华,浙江,男,家人团聚平平安安才是幸福
85,茂名,Love,广东,男,Love
86,许昌,Best,河南,男,
87,十堰,必胜,湖北,男,
88,深圳,liuhanwang,广东,男,"今夜风寒，适宜裸奔。
洗心革面，不做好人！"
89,深圳,周健,广东,男,你生活的起点并不是那么重要，重要的是最后你能到达哪里。
90,潍坊,拾光,山东,男,
91,温州,发评论店铺名12小时内处理耐心等,浙江,女,24小时内返现 莫慌！ 早9点半晚10.30 其他时间留言哦 只返一次的
92,洛阳,石学民,河南,男,13849972708
93,,A大兴宝典周小娇,,不明性别,雪佛兰，别克专卖18025381321
94,洛阳,han,河南,男,永不放弃
95,新乡,荒村听雨,河南,男,你可以不务正业，但你不可以不学无术！
96,洛阳,希望～留给希望的人,河南,男,人生如戏，系平安
97,洛阳,小小温儿,河南,女,
98,,阁阁,,女,
99,深圳,木生,广东,男,
100,广州,AA 萧萧名汇名表,广东,女,高档名表质量保证诚信经营售后无忧支持全国顺丰包邮需订金100元
101,太原,zx,山西,女,
102,深圳,容,广东,女,
103,临沂,羽柴 空,山东,男,
104,南京,奋斗,江苏,男,一无所有是一种财富，它让穷人产生改变命运的行动。
105,洛阳,雁,河南,男,我是我
106,洛阳,随缘,河南,不明性别,我爱我家
107,,KMAOAK,,不明性别,
108,洛阳,糊涂劲,河南,男,笑对人生
109,洛阳,毕家琪,河南,男,心想未必事成，但若无理想人生又有何意义。
110,海淀,LeoYang,北京,男,Time is running.
111,深圳,石头 弘利琴行 谭德平,广东,男,诸恶莫作 众善奉行
112,洛阳,白苏@仴abc,河南,男,子非鱼，焉知鱼之乐...
113,淄博,爱拼才会赢ゞ,山东,男,人生再美，怎如初见。当生活把我们打哭，活着，就要热烈而美丽.
114,,李文文,,女,
115,,马营波,,男,平若水，直似衡！
116,,郑岳飞,河南,男,
117,沈阳,"outlier ,",辽宁,男,慢热。最长情的白水
118,深圳,沐风,广东,男,能够承载多少过去，就会创造多少未来。
119,,牛恩利,,男,犯其至难，图其致远。 你所经历的都是别人夺不去的财富。
120,深圳,.′ViVi 、,广东,女,心向阳  积极面对一切 
121,深圳,庭歌艺术培训,广东,女,你正好需要，我们正好专业；庭歌六年办学口碑！电话1511230886。
122,深圳,小海洋,广东,女,
123,福州,双子座,福建,男,天上下雨地下流.你不爱我我不求.塘中鱼多水不清.现在女人真讨厌
124,深圳,GQY,广东,男,
125,,尐,,男,时光流逝…
126,洛阳,从骨至筋,河南,男,
127,朝阳,王博,北京,男,许你一世安暖
128,,张柯,,女,好，很好，非常好
129,西安,MarinaJi,陕西,女,看未来，看世界
130,深圳,曹洪福（慧尚品包销互联网商城）,广东,男,"善心、善念、善行～上善若水任方圆
帮企业去库存、帮个人快脱贫"
131,洛阳,群子,河南,女,你若安好，便是晴天！
132,福州,灯塔,福建,男,
133,洛阳,天乐,河南,男,乐
134,,刘青文,,不明性别,
135,洛阳,A中国平安刘森磊13693790527,河南,男,平安信用卡开放办理了，有需要的可以找我
136,,周盒子,,男,
